,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score,theme_score,is_candidate
UFO,space,2026-09-24,752.0000,43.4200,-0.3588,0.0191,-1.2669,-0.0785,-0.0297,-0.1135,-0.2292,0.0563,0.0084,0.2832,8406989.7440,0.5596,-0.1226,-0.0154,4.5633,0.0815,True,True,0.1792,0.1792,True
ARKX,space,2026-09-24,752.0000,32.7700,-0.1317,0.1351,-0.4755,0.0136,0.0157,-0.0306,-0.0968,0.0079,0.0292,0.2770,12280740.7566,0.1517,-0.1199,-0.0992,1.2645,0.0834,True,True,0.7135,0.1792,True
XAR,defense-us,2026-09-24,752.0000,239.4600,-0.1926,0.0041,-0.7146,-0.1041,-0.0951,-0.1694,-0.2647,-0.1101,-0.0288,0.2695,70917758.0345,0.2385,-0.1167,-0.0004,2.0439,0.0857,True,False,0.2284,0.2284,True
ITA,defense-us,2026-09-24,752.0000,212.7600,-0.1588,0.0014,-0.7448,-0.0746,-0.0897,-0.1470,-0.2231,-0.1188,-0.0294,0.2132,173807595.5132,0.1888,-0.0923,0.0000,2.0449,0.1083,True,False,0.3119,0.2284,True
PPA,defense-us,2026-09-24,752.0000,159.0900,-0.1393,0.0068,-0.6854,-0.0675,-0.0696,-0.1160,-0.2343,-0.1106,-0.0107,0.2033,34419677.3225,0.1619,-0.0880,-0.0006,1.8390,0.1136,True,False,0.3179,0.2284,True
LIT,lithium,2026-09-24,752.0000,68.8200,-0.2456,0.1446,-0.9366,-0.0755,-0.0467,-0.1730,-0.2034,0.1423,-0.0671,0.2623,14830387.0224,0.3256,-0.1136,-0.0302,2.8672,0.0881,True,False,0.2553,0.2553,True
ITB,housing,2026-09-24,752.0000,88.3100,-0.2131,0.2060,-0.7594,-0.0882,-0.0652,-0.1869,-0.2024,-0.3236,-0.0139,0.2806,189712915.0865,0.2707,-0.1215,-0.0333,2.2286,0.0823,True,False,0.2801,0.2801,True
XHB,housing,2026-09-24,752.0000,96.8000,-0.1943,0.1282,-0.7798,-0.0841,-0.0698,-0.1971,-0.2019,-0.2815,-0.0190,0.2492,182907175.7481,0.2412,-0.1079,-0.0269,2.2352,0.0927,True,False,0.2804,0.2801,True
IGF,grid/infra,2026-09-24,752.0000,62.2200,-0.0904,0.0014,-0.9562,-0.0445,-0.0500,-0.1147,-0.2295,-0.1074,-0.0394,0.0946,50636299.9113,0.0994,-0.0410,0.0000,2.4280,0.2442,True,False,0.2811,0.2811,True
PAVE,grid/infra,2026-09-24,752.0000,53.0700,-0.1138,0.0941,-0.6302,-0.0194,-0.0514,-0.1387,-0.1375,-0.0256,-0.0207,0.1806,85723192.9182,0.1284,-0.0782,-0.0060,1.6422,0.1279,True,False,0.5356,0.2811,True
GRID,grid/infra,2026-09-24,752.0000,178.2600,-0.1024,0.0600,-0.3987,0.0174,-0.0086,-0.0958,-0.0954,0.0283,-0.0084,0.2569,89008797.5643,0.1141,-0.1113,-0.0621,1.0259,0.0899,True,False,0.7767,0.2811,True
IHI,health-other,2026-09-24,752.0000,51.3400,-0.1998,0.0819,-0.7845,-0.0618,-0.0339,-0.0126,-0.2286,-0.3103,-0.0012,0.2547,130426914.7832,0.2497,-0.1103,-0.0767,2.2641,0.0907,True,False,0.2869,0.2869,True
INDA,india,2026-09-24,752.0000,47.5600,-0.1398,0.0887,-1.1068,-0.0502,-0.0330,-0.0906,-0.1553,-0.2739,-0.0228,0.1263,247809608.9259,0.1625,-0.0547,-0.0450,2.9715,0.1828,True,False,0.3136,0.3136,True
XLY,discretionary,2026-09-24,752.0000,110.3200,-0.1085,0.1091,-0.5575,-0.0507,-0.0391,-0.0881,-0.1704,-0.2367,-0.0169,0.1947,667865074.0826,0.1217,-0.0843,-0.0462,1.4443,0.1186,True,False,0.4387,0.4387,True
XME,base-metals,2026-09-24,752.0000,107.9600,-0.1861,0.0955,-0.5129,-0.0501,-0.0290,-0.0413,-0.1684,0.0281,-0.0936,0.3629,176946339.1249,0.2287,-0.1571,-0.0968,1.4554,0.0636,True,False,0.4895,0.4895,True
PICK,base-metals,2026-09-24,752.0000,60.8000,-0.1105,0.3397,-0.4022,0.0236,-0.0201,-0.0060,-0.0464,0.2859,-0.0839,0.2748,37475099.9778,0.1243,-0.1190,-0.0816,1.0444,0.0840,True,False,0.7962,0.4895,True
VNM,vietnam,2026-09-24,752.0000,17.2100,-0.1308,0.2101,-0.5645,-0.0538,-0.0133,-0.1120,-0.1349,-0.1791,-0.0359,0.2317,11334044.5940,0.1505,-0.1003,-0.0506,1.4998,0.0997,True,False,0.4966,0.4966,False
ARGT,argentina,2026-09-24,752.0000,89.5700,-0.1267,0.1473,-0.5901,-0.0308,-0.0446,-0.0581,-0.1551,0.0548,-0.0681,0.2148,12932282.8671,0.1451,-0.0930,-0.0488,1.5605,0.1075,True,False,0.4967,0.4967,False
BOTZ,ai/robot,2026-09-24,752.0000,35.2200,-0.1536,0.0723,-0.5905,-0.0454,-0.0129,-0.0856,-0.1386,-0.1787,0.0011,0.2600,22464702.4370,0.1814,-0.1126,-0.0437,1.6112,0.0888,True,True,0.4969,0.4969,False
ARKQ,ai/robot,2026-09-24,752.0000,124.8800,-0.1317,0.1814,-0.4245,0.0048,0.0250,-0.0436,-0.1077,-0.0266,0.0234,0.3102,10950298.8232,0.1517,-0.1343,-0.1227,1.1291,0.0744,True,True,0.7195,0.4969,False
AIPO,ai/robot,2026-09-24,293.0000,28.6300,-0.1766,0.0620,-0.4376,0.0225,-0.0165,-0.1789,-0.0729,0.0821,-0.0195,0.4036,32926259.4601,0.2145,-0.1747,-0.0814,1.2273,0.0572,True,False,0.7645,0.4969,False
ROBO,ai/robot,2026-09-24,752.0000,80.3800,-0.1103,0.1173,-0.4008,0.0311,0.0000,-0.0728,-0.0284,0.0377,0.0168,0.2751,12533934.9939,0.1239,-0.1191,-0.0575,1.0402,0.0839,True,True,0.8281,0.4969,False
BAI,ai/robot,2026-09-24,481.0000,47.0900,-0.1317,0.2381,-0.2556,0.1559,0.0674,-0.1012,0.1750,0.1987,0.0388,0.5151,118456812.8354,0.1516,-0.2230,-0.2037,0.6798,0.0448,True,True,0.9296,0.4969,False
IYT,transport,2026-09-24,752.0000,78.9200,-0.1212,0.0778,-0.7724,-0.0230,-0.0735,-0.1216,-0.1105,-0.0497,-0.0320,0.1570,76433209.8252,0.1380,-0.0680,0.0000,2.0298,0.1471,True,False,0.4982,0.4982,False
JETS,transport,2026-09-24,752.0000,28.4600,-0.1512,0.1910,-0.5418,-0.0019,-0.0523,-0.1727,-0.0343,-0.0473,0.0157,0.2791,121000311.9804,0.1781,-0.1209,-0.0232,1.4740,0.0827,True,True,0.6950,0.4982,False
